Date,fdate,CHETURN_AR_1,CHETURN_AR_2,CHETURN_AR_3,CHETURN_AR_4,CHETURN_AR_5,CHETURN_TR_1,CHETURN_TR_2,CHETURN_TR_3,CHETURN_TR_4,CHETURN_TR_5,CHETURN_AR_Sig,CHETURN_TR_Sig,CHETURN_AR_130,CHETURN_TR_130,CHETURN_TR_BP,CHETURN_TR_LO,CHETURN_CAR_1,CHETURN_CAR_2,CHETURN_CAR_3,CHETURN_CAR_4,CHETURN_CAR_5,CHETURN_CTR_1,CHETURN_CTR_2,CHETURN_CTR_3,CHETURN_CTR_4,CHETURN_CTR_5,CHETURN_CAR_LS,CHETURN_CTR_LS,CHETURN_CAR_SW,CHETURN_CTR_SW,CHETURN_CTR_BP,CHETURN_CTR_LO,CHETURN_CXR_LO,CHETURN_CTR_13,CHETURN_CADD,CHETURN_CTDD
2002/10/31,2002/09/30,0.23%,4.87%,2.13%,0.77%,-2.64%,4.22%,12.47%,9.79%,6.51%,3.93%,-2.99%,-3.91%,-4.91%,-1.04%,7.77%,0.14%,103,107,97,120,97,78,51,67,85,73,-6.72%,-7.87%,5.54%,15.83%,-31.95%,0.14%,44.43%,4.97%,-3.24%,-3.91%
2002/11/30,2002/10/31,-2.36%,-0.50%,2.04%,-2.33%,1.79%,4.08%,7.86%,7.57%,2.96%,6.09%,-1.83%,-2.98%,-2.89%,7.64%,6.03%,8.53%,101,106,99,117,99,81,55,73,88,77,-2.85%,-6.02%,3.61%,12.39%,-27.85%,8.69%,48.06%,13.00%,-5.00%,-6.77%
2002/12/31,2002/11/30,0.36%,0.31%,-0.97%,0.05%,0.54%,-4.10%,-7.20%,-7.38%,-3.79%,-3.87%,0.68%,1.59%,3.19%,-2.21%,-5.58%,-2.69%,101,106,98,117,99,77,51,67,84,74,-2.68%,-5.81%,4.31%,14.17%,-31.88%,5.77%,52.34%,10.50%,-4.36%,-5.29%
2003/01/31,2002/12/31,-1.30%,-0.07%,1.00%,1.95%,-1.45%,-3.70%,-2.42%,-1.74%,-0.84%,-4.15%,0.60%,0.78%,1.52%,0.11%,-2.56%,-0.12%,100,106,99,119,98,75,50,66,84,71,-2.83%,-6.23%,4.94%,15.07%,-33.63%,5.64%,56.06%,10.62%,-3.78%,-4.55%
2003/02/28,2003/01/31,0.06%,0.98%,-0.35%,-0.25%,0.21%,-2.26%,-0.57%,-2.23%,-2.59%,-1.74%,-0.70%,-1.09%,-1.48%,-4.32%,-1.81%,-4.00%,100,107,99,119,98,73,50,65,81,70,-2.68%,-5.74%,4.21%,13.81%,-34.83%,1.41%,52.64%,5.84%,-4.45%,-5.59%
2003/03/31,2003/02/28,2.91%,-1.33%,1.36%,1.08%,0.58%,2.40%,-0.06%,2.12%,0.74%,0.31%,-1.39%,-1.46%,-0.92%,-0.35%,1.22%,0.09%,103,106,100,120,99,75,50,66,82,70,-4.95%,-7.71%,2.76%,12.15%,-34.03%,1.50%,50.91%,5.46%,-5.78%,-6.96%
2003/04/30,2003/03/31,-1.15%,-1.50%,-0.71%,2.05%,1.54%,7.31%,8.66%,7.22%,9.58%,9.14%,-1.87%,-3.49%,-2.48%,5.65%,8.22%,6.70%,102,104,99,123,100,80,54,71,90,77,-2.39%,-6.02%,0.84%,8.24%,-28.61%,8.30%,48.61%,11.43%,-7.54%,-10.21%
2003/05/31,2003/04/30,-0.77%,-1.26%,0.55%,-0.50%,0.82%,6.48%,6.83%,6.44%,4.69%,6.54%,-0.50%,-1.09%,0.10%,11.21%,6.23%,11.53%,101,103,100,122,101,85,58,75,94,82,-0.85%,-5.96%,0.33%,7.07%,-24.16%,20.79%,56.50%,23.92%,-8.01%,-11.18%
2003/06/30,2003/05/31,-0.50%,-0.56%,1.12%,-0.80%,0.04%,1.50%,1.16%,2.39%,0.56%,1.66%,-0.92%,-1.16%,0.95%,4.13%,1.49%,4.48%,100,103,101,121,101,87,59,77,95,83,-0.31%,-5.81%,-0.60%,5.83%,-23.03%,26.20%,61.18%,29.03%,-8.86%,-12.21%
2003/07/31,2003/06/30,0.38%,0.25%,1.19%,1.47%,-0.45%,3.27%,3.29%,1.85%,2.89%,1.47%,-0.83%,-0.97%,-0.12%,6.23%,2.46%,6.52%,101,103,102,123,101,89,60,78,97,84,-1.14%,-7.51%,-1.43%,4.80%,-21.14%,34.43%,67.72%,37.07%,-9.62%,-13.07%
2003/08/31,2003/07/31,0.22%,3.20%,-1.33%,-3.01%,0.01%,3.84%,5.58%,0.32%,-0.19%,2.89%,-1.55%,-1.38%,-0.94%,4.16%,2.35%,4.57%,101,106,101,119,101,93,64,79,97,87,-1.35%,-8.39%,-2.95%,3.36%,-19.28%,40.58%,71.45%,42.77%,-11.02%,-14.26%
2003/09/30,2003/08/31,-1.25%,-0.17%,0.27%,1.18%,-0.38%,-2.06%,-0.95%,-0.90%,0.23%,-1.46%,0.92%,1.07%,2.72%,3.06%,-1.08%,2.74%,100,106,101,121,100,91,63,78,98,85,-0.49%,-7.84%,-2.06%,4.46%,-20.15%,44.43%,78.00%,47.15%,-10.21%,-13.35%
2003/10/31,2003/09/30,1.61%,2.41%,1.16%,-0.94%,-2.37%,8.60%,6.17%,5.81%,6.07%,3.74%,-2.55%,-1.86%,-0.76%,6.61%,6.06%,7.16%,101,108,102,119,98,99,67,83,103,88,-4.45%,-12.32%,-4.56%,2.52%,-15.32%,54.78%,79.97%,56.87%,-12.49%,-14.96%
2003/11/30,2003/10/31,-1.29%,0.25%,1.24%,-0.57%,-0.42%,1.30%,1.04%,1.91%,1.50%,1.41%,-0.16%,-0.02%,0.49%,3.55%,1.47%,3.56%,100,109,104,119,97,100,68,84,105,90,-3.61%,-12.22%,-4.72%,2.50%,-14.07%,60.29%,83.72%,62.44%,-12.64%,-14.97%
2003/12/31,2003/11/30,-0.62%,1.00%,-1.90%,-1.05%,0.96%,3.48%,5.30%,3.95%,3.91%,5.49%,2.01%,1.22%,2.24%,5.67%,4.39%,5.30%,99,110,102,118,98,104,71,87,109,95,-2.09%,-10.46%,-2.80%,3.75%,-10.30%,68.79%,85.40%,71.65%,-10.88%,-13.93%
2004/01/31,2003/12/31,-4.54%,1.19%,2.69%,-0.85%,-0.09%,-0.36%,2.16%,4.18%,1.92%,2.64%,-1.11%,-0.64%,1.39%,6.00%,2.25%,6.19%,95,111,104,117,98,103,73,91,111,97,2.27%,-7.77%,-3.88%,3.08%,-8.28%,79.24%,92.71%,81.95%,-11.87%,-14.49%
2004/02/29,2004/01/31,1.96%,-0.67%,-1.23%,0.46%,-0.28%,3.24%,0.83%,0.42%,2.05%,1.28%,1.44%,3.17%,2.52%,5.62%,1.48%,4.67%,97,110,103,117,98,106,74,91,113,98,-0.02%,-9.58%,-2.50%,6.35%,-6.92%,87.61%,98.86%,92.17%,-10.60%,-11.78%
2004/03/31,2004/02/29,0.95%,0.11%,-1.19%,0.28%,-0.25%,0.36%,-1.10%,-2.46%,-0.88%,-1.09%,1.61%,1.74%,1.95%,2.55%,-1.09%,2.03%,98,110,102,117,98,107,73,89,112,97,-1.23%,-10.89%,-0.93%,8.20%,-7.94%,91.42%,105.1%,97.08%,-9.16%,-10.25%
2004/04/30,2004/03/31,2.65%,-1.48%,-4.11%,0.18%,0.81%,-0.52%,-2.04%,-3.56%,-2.62%,-1.14%,3.82%,2.22%,4.95%,0.05%,-2.03%,-0.61%,100,109,98,118,99,106,71,86,109,96,-3.05%,-11.43%,2.86%,10.59%,-9.81%,90.24%,108.0%,97.18%,-5.69%,-8.26%
2004/05/31,2004/04/30,0.29%,-0.12%,1.15%,0.51%,-1.30%,1.18%,0.92%,2.39%,1.84%,-0.48%,-0.32%,-0.14%,-0.72%,-0.28%,1.34%,-0.24%,100,109,99,118,97,108,72,88,112,96,-4.59%,-12.90%,2.53%,10.44%,-8.61%,89.79%,104.7%,96.62%,-5.99%,-8.39%
2004/06/30,2004/05/31,0.43%,1.86%,-1.21%,-1.74%,0.83%,3.19%,3.19%,0.40%,0.45%,2.87%,-0.28%,0.28%,-0.14%,4.07%,1.96%,3.98%,101,111,98,116,98,111,74,88,112,98,-4.21%,-13.18%,2.24%,10.75%,-6.81%,97.35%,108.8%,104.6%,-6.26%,-8.13%
2004/07/31,2004/06/30,-1.62%,0.27%,0.15%,-0.01%,0.99%,-4.44%,-3.96%,-5.02%,-2.67%,-2.64%,1.79%,1.34%,-0.36%,-4.10%,-3.87%,-4.50%,99,111,98,116,99,106,71,84,109,96,-1.71%,-11.61%,4.08%,12.23%,-10.42%,88.46%,107.5%,96.22%,-4.58%,-6.90%
2004/08/31,2004/07/31,0.62%,-0.60%,-1.27%,2.37%,0.48%,0.61%,-0.50%,-1.22%,2.57%,0.86%,0.23%,-0.09%,-1.05%,-1.79%,0.29%,-1.77%,100,110,96,119,100,107,71,83,112,97,-1.84%,-11.39%,4.32%,12.13%,-10.15%,85.13%,103.2%,92.70%,-4.36%,-6.98%
2004/09/30,2004/08/31,-0.83%,2.83%,-0.43%,-2.17%,0.21%,1.73%,3.68%,1.27%,-0.41%,1.84%,-0.97%,-0.17%,-0.32%,3.57%,1.66%,3.62%,99,113,96,116,100,109,74,84,111,98,-0.82%,-11.30%,3.30%,11.93%,-8.67%,91.83%,107.2%,99.58%,-5.29%,-7.15%
2004/10/31,2004/09/30,0.41%,0.97%,-1.68%,2.33%,-0.90%,1.69%,2.71%,0.08%,3.32%,0.51%,-0.37%,-0.49%,0.13%,1.74%,1.55%,1.88%,99,115,94,119,99,110,76,84,115,99,-2.12%,-12.35%,2.92%,11.38%,-7.25%,95.44%,107.9%,103.0%,-5.64%,-7.60%
2004/11/30,2004/10/31,-0.24%,0.02%,0.21%,-1.25%,0.48%,5.40%,4.15%,4.45%,3.93%,5.21%,-2.13%,-1.69%,-0.97%,7.02%,4.65%,7.53%,99,115,95,118,99,116,79,88,120,104,-1.41%,-12.51%,0.73%,9.49%,-2.94%,110.2%,113.9%,117.3%,-7.64%,-9.17%
2004/12/31,2004/11/30,0.66%,-0.77%,0.24%,0.26%,-0.16%,3.51%,3.08%,4.39%,3.22%,3.65%,-0.77%,-1.32%,1.51%,4.61%,3.62%,5.01%,100,114,95,118,99,120,81,92,123,108,-2.22%,-12.39%,-0.04%,8.05%,0.58%,120.7%,116.9%,127.3%,-8.35%,-10.36%
2005/01/31,2004/12/31,0.67%,0.77%,-0.37%,-2.60%,0.43%,-1.11%,-3.11%,-3.67%,-4.10%,-1.72%,0.47%,1.17%,0.99%,-1.50%,-2.69%,-1.85%,101,115,94,115,100,119,79,88,118,106,-2.45%,-12.92%,0.42%,9.31%,-2.13%,116.6%,118.7%,123.9%,-7.92%,-9.32%
2005/02/28,2005/01/31,0.43%,2.48%,1.02%,-3.61%,-1.69%,2.71%,3.51%,2.66%,-1.02%,0.79%,-1.42%,-1.11%,-1.26%,0.62%,2.06%,0.96%,101,117,95,111,98,122,81,91,117,107,-4.52%,-14.59%,-1.00%,8.10%,-0.11%,118.7%,116.3%,125.3%,-9.23%,-10.33%
2005/03/31,2005/02/28,-0.60%,0.62%,0.59%,-1.48%,0.16%,-1.50%,-2.29%,-1.67%,-2.34%,-0.93%,0.35%,0.63%,-0.24%,-1.40%,-1.73%,-1.59%,100,118,96,109,98,120,79,89,114,106,-3.79%,-14.10%,-0.65%,8.77%,-1.84%,115.2%,116.6%,122.2%,-8.91%,-9.77%
2005/04/30,2005/03/31,-1.10%,-0.54%,1.17%,1.99%,0.68%,-3.91%,-3.31%,-1.32%,-0.14%,-1.59%,0.21%,-0.01%,-0.56%,-5.99%,-2.23%,-5.98%,99,118,97,111,99,116,77,88,114,104,-2.08%,-12.11%,-0.44%,8.76%,-4.03%,102.3%,108.5%,108.9%,-8.72%,-9.78%
2005/05/31,2005/04/30,0.05%,0.66%,-0.28%,-0.48%,0.00%,3.75%,5.20%,3.42%,2.96%,4.00%,-2.00%,-1.78%,-2.91%,2.84%,3.88%,3.37%,99,118,97,111,99,120,81,91,118,108,-2.12%,-11.90%,-2.43%,6.82%,-0.31%,109.2%,107.4%,114.8%,-10.54%,-11.39%
2005/06/30,2005/05/31,-1.32%,0.91%,0.99%,-0.46%,-0.26%,0.57%,0.55%,1.23%,0.97%,1.09%,-1.52%,-1.28%,-1.87%,2.23%,0.85%,2.61%,98,119,98,110,98,121,81,92,119,110,-1.09%,-11.43%,-3.91%,5.46%,0.54%,114.6%,111.1%,119.6%,-11.90%,-12.52%
2005/07/31,2005/06/30,1.31%,0.75%,-0.40%,-2.22%,-0.30%,5.21%,5.67%,3.77%,2.05%,3.39%,0.56%,0.12%,1.69%,7.28%,4.20%,7.24%,99,120,97,108,98,127,86,96,121,113,-2.68%,-13.04%,-3.37%,5.58%,4.76%,130.2%,117.5%,135.6%,-11.41%,-12.42%
2005/08/31,2005/07/31,0.03%,0.41%,0.34%,-0.70%,-0.25%,-0.63%,-1.44%,-1.01%,-1.59%,-0.68%,-1.15%,-1.05%,-1.43%,-2.82%,-1.01%,-2.50%,99,121,98,107,98,126,85,95,119,113,-2.95%,-13.08%,-4.49%,4.47%,3.70%,124.4%,114.2%,128.9%,-12.43%,-13.34%
2005/09/30,2005/08/31,0.74%,0.26%,0.82%,-1.20%,-0.08%,1.39%,0.37%,0.89%,-0.61%,1.09%,-0.68%,-0.67%,-0.07%,-0.16%,0.77%,0.04%,100,121,99,106,98,128,85,95,119,114,-3.75%,-13.35%,-5.14%,3.77%,4.50%,124.5%,112.7%,128.5%,-13.02%,-13.92%
2005/10/31,2005/09/30,-1.76%,1.09%,0.22%,2.39%,-0.91%,-3.18%,-1.18%,-1.52%,0.48%,-2.37%,-0.35%,-0.46%,-2.03%,-4.25%,-1.76%,-4.11%,98,122,99,108,97,124,84,94,119,111,-2.93%,-12.64%,-5.47%,3.29%,2.66%,115.3%,107.7%,118.8%,-13.32%,-14.31%
2005/11/30,2005/10/31,0.42%,0.15%,-0.07%,0.65%,0.01%,4.04%,4.65%,3.85%,3.76%,3.00%,-1.25%,-1.03%,-1.72%,2.67%,3.93%,2.98%,99,123,99,109,97,129,88,98,124,114,-3.33%,-13.55%,-6.65%,2.23%,6.69%,121.7%,105.7%,124.7%,-14.41%,-15.19%
2005/12/31,2005/11/30,-0.21%,-0.68%,1.07%,0.26%,-0.12%,-0.10%,-0.81%,0.98%,0.16%,0.03%,-0.19%,0.19%,0.90%,1.20%,0.04%,1.14%,98,122,100,109,97,129,87,99,124,114,-3.25%,-13.44%,-6.83%,2.43%,6.73%,124.2%,108.0%,127.4%,-14.58%,-15.03%
2006/01/31,2005/12/31,1.02%,-1.03%,-0.83%,-1.58%,0.59%,4.05%,3.86%,2.26%,2.45%,4.75%,0.82%,0.84%,0.58%,8.56%,3.44%,8.31%,100,120,99,107,97,134,90,101,127,120,-3.67%,-12.83%,-6.06%,3.29%,10.40%,142.9%,118.1%,146.9%,-13.87%,-14.32%
2006/02/28,2006/01/31,-0.18%,-0.90%,0.46%,1.44%,-0.30%,-0.16%,-0.96%,0.70%,1.66%,-0.18%,0.27%,0.29%,0.87%,0.79%,0.09%,0.71%,99,119,99,109,97,134,90,102,129,120,-3.78%,-12.85%,-5.81%,3.59%,10.50%,144.6%,119.5%,148.8%,-13.64%,-14.07%
2006/03/31,2006/02/28,0.95%,-0.10%,-0.67%,-1.05%,-0.90%,2.67%,2.61%,1.27%,0.83%,1.74%,0.93%,0.99%,0.77%,5.56%,1.90%,5.26%,100,119,99,108,96,137,92,103,130,122,-5.57%,-13.66%,-4.94%,4.62%,12.59%,157.4%,126.9%,162.6%,-12.84%,-13.22%
2006/04/30,2006/03/31,0.52%,-0.59%,-0.31%,0.56%,-0.64%,1.86%,-0.31%,0.31%,2.33%,1.25%,0.23%,0.07%,0.82%,1.39%,0.99%,1.37%,101,119,98,108,96,140,92,103,133,123,-6.67%,-14.19%,-4.72%,4.69%,13.71%,161.0%,127.7%,166.3%,-12.64%,-13.16%
2006/05/31,2006/04/30,0.75%,-0.04%,0.02%,-1.87%,-0.59%,-2.02%,-4.60%,-3.20%,-3.59%,-2.25%,1.20%,1.42%,0.88%,-3.04%,-3.11%,-3.47%,102,119,98,106,95,137,87,100,128,120,-7.92%,-14.39%,-3.58%,6.18%,10.17%,151.9%,126.9%,158.2%,-11.59%,-11.92%
2006/06/30,2006/05/31,0.38%,-0.03%,-0.40%,-0.43%,1.27%,0.60%,-0.11%,-0.67%,-0.14%,1.79%,-0.23%,-0.66%,-0.58%,-1.00%,0.19%,-0.80%,102,119,98,106,96,138,87,99,128,123,-7.10%,-13.37%,-3.80%,5.48%,10.39%,149.9%,124.6%,155.6%,-11.80%,-12.50%
2006/07/31,2006/06/30,-0.75%,-0.36%,1.02%,0.75%,0.37%,-0.81%,-2.17%,0.76%,0.77%,0.78%,0.29%,1.30%,-0.18%,-1.70%,-0.28%,-2.09%,101,118,99,107,97,137,85,100,129,124,-6.06%,-11.99%,-3.52%,6.84%,10.08%,144.7%,120.6%,151.3%,-11.54%,-11.37%
2006/08/31,2006/07/31,-0.82%,0.29%,1.53%,-0.63%,0.29%,1.41%,3.11%,4.58%,1.34%,1.74%,-1.94%,-1.49%,-3.48%,-0.01%,2.48%,0.44%,100,118,101,106,97,139,88,105,131,126,-5.02%,-11.69%,-5.39%,5.25%,12.81%,145.7%,116.1%,151.2%,-13.25%,-12.69%
2006/09/30,2006/08/31,-0.67%,2.38%,-0.24%,0.16%,-1.83%,1.52%,4.01%,2.37%,2.74%,0.14%,-0.79%,-0.40%,-0.95%,0.58%,2.24%,0.70%,100,121,100,106,95,141,92,107,134,126,-6.13%,-12.91%,-6.14%,4.84%,15.33%,147.5%,112.7%,152.7%,-13.94%,-13.03%
2006/10/31,2006/09/30,1.10%,1.02%,-1.60%,-1.24%,0.63%,4.34%,5.16%,2.54%,2.32%,4.14%,-1.83%,-2.18%,-1.65%,2.77%,3.69%,3.42%,101,122,99,105,96,147,96,110,138,131,-6.57%,-13.09%,-7.86%,2.55%,19.59%,155.9%,112.2%,159.7%,-15.52%,-14.93%
2006/11/30,2006/10/31,0.73%,0.28%,0.14%,-1.97%,0.17%,2.63%,2.65%,2.45%,0.41%,2.36%,-0.88%,-0.53%,-0.94%,2.07%,2.16%,2.23%,102,123,99,103,96,151,99,112,138,134,-7.10%,-13.32%,-8.67%,2.01%,22.17%,161.6%,112.3%,165.1%,-16.26%,-15.38%
2006/12/31,2006/11/30,-1.16%,0.07%,0.49%,0.26%,-0.20%,0.54%,0.47%,1.56%,2.39%,1.59%,-1.33%,-0.97%,-1.53%,0.10%,1.18%,0.39%,100,123,99,103,96,152,99,114,141,136,-6.21%,-12.40%,-9.88%,1.02%,23.61%,162.7%,110.7%,165.3%,-17.37%,-16.20%
2007/01/31,2006/12/31,-0.25%,1.25%,-0.11%,-0.83%,1.47%,1.37%,3.24%,2.09%,0.98%,2.90%,0.97%,0.89%,2.10%,3.56%,2.01%,3.30%,100,124,99,102,97,154,103,117,143,140,-4.59%,-11.06%,-9.01%,1.91%,26.09%,171.3%,113.4%,174.8%,-16.57%,-15.46%
