Date,fdate,GProfG_AR_1,GProfG_AR_2,GProfG_AR_3,GProfG_AR_4,GProfG_AR_5,GProfG_TR_1,GProfG_TR_2,GProfG_TR_3,GProfG_TR_4,GProfG_TR_5,GProfG_AR_Sig,GProfG_TR_Sig,GProfG_AR_130,GProfG_TR_130,GProfG_TR_BP,GProfG_TR_LO,GProfG_CAR_1,GProfG_CAR_2,GProfG_CAR_3,GProfG_CAR_4,GProfG_CAR_5,GProfG_CTR_1,GProfG_CTR_2,GProfG_CTR_3,GProfG_CTR_4,GProfG_CTR_5,GProfG_CAR_LS,GProfG_CTR_LS,GProfG_CAR_SW,GProfG_CTR_SW,GProfG_CTR_BP,GProfG_CTR_LO,GProfG_CXR_LO,GProfG_CTR_13,GProfG_CADD,GProfG_CTDD
2006/05/31,2006/04/30,-1.13%,0.47%,-0.34%,0.08%,-0.20%,-4.82%,-2.98%,-2.20%,-3.18%,-3.00%,1.01%,0.23%,-0.76%,-6.49%,-3.11%,-6.56%,87,113,101,111,97,80,116,109,128,112,10.77%,35.13%,53.96%,68.69%,10.17%,159.1%,152.5%,202.2%,0.00%,0.00%
2006/06/30,2006/05/31,0.76%,-0.06%,-0.46%,0.23%,0.19%,0.90%,-0.06%,-0.30%,0.14%,0.55%,1.78%,1.95%,0.03%,0.13%,0.19%,-0.45%,88,113,100,112,97,81,116,109,128,112,10.14%,34.66%,56.70%,71.99%,10.39%,157.9%,150.8%,202.6%,0.00%,0.00%
2006/07/31,2006/06/30,0.74%,0.03%,1.01%,0.07%,-1.32%,-0.79%,-0.83%,1.04%,0.08%,-1.62%,1.04%,0.92%,-0.47%,-4.18%,-0.28%,-4.45%,88,113,101,112,96,80,115,110,128,111,7.87%,33.53%,58.33%,73.57%,10.08%,146.4%,140.4%,189.9%,0.00%,0.00%
2006/08/31,2006/07/31,0.44%,1.60%,-0.25%,-0.21%,-1.04%,2.62%,4.38%,1.81%,2.27%,1.15%,-1.21%,-1.06%,-2.25%,1.82%,2.48%,2.14%,89,115,101,112,95,82,120,112,131,112,6.27%,31.58%,56.41%,71.72%,12.81%,151.7%,139.5%,195.2%,-1.21%,-1.06%
2006/09/30,2006/08/31,-1.15%,1.20%,0.12%,-0.09%,-0.20%,1.10%,3.02%,2.20%,2.48%,1.97%,1.19%,1.53%,-0.03%,1.47%,2.24%,1.01%,88,116,101,111,95,83,124,114,134,114,7.27%,32.71%,58.27%,74.36%,15.33%,154.3%,136.6%,199.5%,-0.04%,0.00%
2006/10/31,2006/09/30,0.75%,-0.47%,0.14%,-0.19%,0.01%,4.54%,3.56%,3.92%,3.15%,3.78%,-0.66%,-0.40%,-1.58%,4.76%,3.69%,4.88%,88,115,101,111,95,87,128,119,138,118,6.48%,31.70%,57.23%,73.65%,19.59%,166.7%,139.4%,213.8%,-0.70%,-0.40%
2006/11/30,2006/10/31,0.14%,0.69%,-0.38%,-0.30%,-0.10%,2.26%,2.95%,1.84%,1.88%,2.09%,-0.35%,0.13%,-0.87%,2.96%,2.16%,2.92%,89,116,101,111,95,89,132,121,141,121,6.21%,31.47%,56.67%,73.87%,22.17%,174.5%,141.3%,223.1%,-1.05%,-0.28%
2006/12/31,2006/11/30,-0.93%,-0.24%,-0.05%,0.89%,-1.10%,-0.10%,0.29%,1.43%,1.79%,1.54%,0.09%,0.76%,-0.79%,1.95%,1.18%,1.73%,88,116,101,112,94,89,132,123,143,123,6.04%,33.62%,56.82%,75.19%,23.61%,179.2%,142.6%,229.4%,-0.96%,0.00%
2007/01/31,2006/12/31,0.09%,0.08%,0.92%,0.56%,-0.56%,2.25%,1.90%,2.54%,2.32%,1.23%,2.26%,2.72%,2.63%,5.10%,2.01%,4.29%,88,116,102,112,93,91,135,126,147,124,5.35%,32.25%,60.37%,79.95%,26.09%,191.2%,148.1%,246.2%,0.00%,0.00%
2007/02/28,2007/01/31,0.25%,-0.32%,0.40%,-0.79%,0.03%,-1.83%,-0.99%,-0.85%,-2.25%,-1.86%,0.60%,0.98%,1.19%,0.93%,-1.63%,0.64%,88,116,102,112,93,89,134,125,143,122,5.12%,32.21%,61.32%,81.72%,24.04%,193.0%,153.7%,249.4%,0.00%,0.00%
2007/03/31,2007/02/28,-0.67%,0.08%,-0.68%,-0.19%,0.83%,0.30%,0.87%,0.35%,1.19%,2.36%,0.91%,0.84%,-0.53%,0.64%,1.00%,0.39%,87,116,101,111,94,89,135,125,145,125,6.70%,34.93%,62.80%,83.26%,25.28%,194.2%,152.2%,251.7%,0.00%,0.00%
2007/04/30,2007/03/31,-0.32%,0.42%,-1.20%,-0.11%,1.80%,3.41%,4.08%,2.94%,3.99%,4.77%,0.97%,1.13%,1.63%,4.06%,3.86%,3.72%,87,116,100,111,96,92,140,129,151,131,8.97%,36.76%,64.38%,85.33%,30.12%,205.1%,151.8%,265.9%,0.00%,0.00%
2007/05/31,2007/04/30,-0.63%,-1.10%,-0.03%,0.01%,1.00%,3.09%,2.76%,3.66%,3.47%,4.66%,0.77%,1.00%,-2.37%,2.08%,3.54%,1.78%,87,115,100,111,97,95,144,133,156,137,10.75%,38.91%,65.63%,87.18%,34.73%,210.5%,147.3%,273.5%,0.00%,0.00%
2007/06/30,2007/05/31,-0.68%,-0.11%,-0.96%,0.24%,0.26%,-2.09%,-1.36%,-2.52%,-1.26%,-1.74%,-0.62%,-0.22%,-0.41%,-1.15%,-1.77%,-1.08%,86,115,99,112,97,93,142,130,154,134,11.78%,39.41%,64.61%,86.76%,32.35%,207.1%,149.0%,269.2%,-0.62%,-0.22%
2007/07/31,2007/06/30,0.71%,-1.32%,0.55%,1.08%,0.09%,-4.45%,-4.50%,-3.06%,-2.54%,-3.55%,-1.88%,-0.99%,-0.14%,-6.15%,-3.46%,-5.86%,87,113,100,113,97,89,136,126,150,130,11.09%,40.67%,61.53%,84.92%,27.77%,189.2%,143.1%,246.5%,-2.48%,-1.21%
2007/08/31,2007/07/31,-0.13%,0.25%,1.23%,0.18%,-0.67%,0.78%,1.48%,2.62%,1.66%,0.53%,-0.37%,0.95%,-4.20%,-2.16%,1.50%,-2.45%,87,114,101,113,96,90,138,129,153,130,10.49%,40.31%,60.93%,86.66%,29.69%,182.1%,133.5%,239.0%,-2.84%,-0.27%
2007/09/30,2007/08/31,1.17%,-1.04%,-1.12%,0.55%,0.14%,4.09%,2.04%,3.26%,4.36%,4.04%,-0.39%,0.51%,-0.77%,1.62%,3.55%,1.47%,88,112,100,114,96,93,141,134,159,136,9.35%,40.23%,60.31%,87.61%,34.30%,186.2%,128.6%,244.5%,-3.21%,0.00%
2007/10/31,2007/09/30,-1.09%,0.85%,-2.32%,-0.33%,1.77%,1.56%,2.47%,-0.33%,2.20%,4.86%,1.78%,4.29%,-0.38%,4.61%,2.05%,3.32%,87,113,97,113,98,95,144,133,163,142,12.47%,44.86%,63.16%,95.65%,37.05%,195.7%,131.5%,260.4%,-1.49%,0.00%
2007/11/30,2007/10/31,1.61%,1.92%,-0.80%,0.05%,-0.93%,-4.82%,-2.68%,-5.41%,-3.97%,-5.90%,0.88%,1.00%,-2.12%,-9.48%,-4.49%,-9.78%,88,116,97,113,97,90,140,126,156,134,9.62%,43.30%,64.60%,97.60%,30.89%,166.8%,119.3%,226.2%,-0.63%,0.00%
2007/12/31,2007/11/30,-2.10%,-0.82%,-0.47%,0.43%,-0.47%,-1.98%,-1.10%,-0.70%,-0.31%,0.49%,0.76%,1.37%,-0.90%,-0.57%,-0.68%,-0.98%,86,115,96,114,97,88,139,125,156,134,11.40%,46.85%,65.84%,100.3%,30.00%,164.2%,118.6%,224.4%,0.00%,0.00%
2008/01/31,2007/12/31,0.74%,0.37%,1.53%,-0.14%,2.99%,-6.75%,-5.89%,-4.45%,-6.39%,-6.36%,0.21%,-1.43%,2.56%,-4.45%,-5.98%,-4.03%,87,115,98,114,100,82,130,120,146,126,13.91%,47.42%,66.20%,97.46%,22.22%,153.6%,122.9%,209.9%,0.00%,-1.43%
2008/02/29,2008/01/31,-0.19%,0.85%,1.19%,-1.08%,-2.04%,-2.04%,-2.13%,-2.63%,-3.82%,-4.32%,0.43%,1.10%,0.35%,-2.62%,-3.00%,-2.95%,87,116,99,112,98,81,128,116,140,120,11.80%,44.07%,66.91%,99.63%,18.56%,146.1%,123.0%,201.8%,0.00%,-0.35%
2008/03/31,2008/02/29,-4.25%,-0.21%,1.50%,1.28%,0.54%,-4.23%,-0.66%,0.40%,0.16%,0.44%,1.64%,1.78%,-3.72%,-3.37%,-0.63%,-3.91%,83,116,100,114,98,77,127,117,141,121,17.15%,50.79%,69.64%,103.2%,17.81%,136.5%,115.7%,191.6%,0.00%,0.00%
2008/04/30,2008/03/31,0.97%,-0.34%,1.53%,-0.48%,0.56%,5.37%,4.05%,6.06%,4.09%,5.38%,2.62%,3.78%,0.93%,5.29%,4.79%,4.16%,84,115,102,113,99,82,132,124,146,127,16.67%,50.80%,74.09%,110.9%,23.46%,146.3%,114.3%,207.1%,0.00%,0.00%
2008/05/31,2008/04/30,-3.77%,-0.10%,-0.00%,0.48%,0.12%,-1.49%,1.83%,1.76%,3.27%,3.89%,0.82%,2.17%,-0.33%,5.01%,1.98%,4.36%,81,115,102,114,99,80,134,126,151,132,21.21%,58.92%,75.52%,115.4%,25.90%,157.0%,119.4%,222.5%,0.00%,0.00%
2008/06/30,2008/05/31,-1.59%,0.02%,-1.44%,-1.36%,-1.50%,-12.28%,-7.45%,-9.01%,-8.57%,-5.68%,2.76%,5.50%,1.79%,-5.03%,-8.40%,-6.68%,79,115,100,112,97,70,124,115,138,125,21.32%,69.41%,80.37%,127.3%,15.32%,139.9%,123.2%,206.2%,0.00%,0.00%
2008/07/31,2008/06/30,1.07%,0.75%,0.50%,0.80%,-2.02%,1.97%,-0.48%,-1.28%,0.60%,-3.72%,0.59%,-1.57%,-3.64%,-1.61%,-0.54%,-1.14%,80,116,101,113,95,72,124,113,139,120,17.57%,59.77%,81.44%,123.7%,14.70%,137.1%,121.9%,201.3%,0.00%,-1.57%
2008/08/31,2008/07/31,-1.66%,0.88%,0.32%,-0.70%,-1.33%,1.23%,2.21%,2.04%,1.56%,0.14%,0.73%,-0.49%,-3.05%,1.68%,1.65%,1.83%,79,117,101,112,94,73,126,116,141,120,17.95%,58.01%,82.77%,122.6%,16.60%,141.5%,122.3%,206.4%,0.00%,-2.06%
2008/09/30,2008/08/31,-4.29%,0.08%,2.30%,0.61%,0.19%,-14.44%,-8.60%,-6.48%,-7.92%,-9.72%,1.45%,-0.14%,-2.98%,-12.95%,-8.85%,-12.91%,75,117,104,113,94,62,116,108,130,109,23.25%,65.47%,85.41%,122.3%,6.28%,110.3%,113.2%,166.7%,0.00%,-2.19%
2008/10/31,2008/09/30,-3.23%,1.63%,-0.85%,-0.30%,-5.73%,-23.28%,-14.52%,-17.98%,-15.44%,-21.12%,1.45%,3.45%,-0.78%,-20.31%,-17.40%,-21.34%,73,119,103,113,89,48,99,89,110,86,20.16%,69.05%,88.10%,130.0%,-12.22%,65.41%,104.8%,112.5%,0.00%,0.00%
2008/11/30,2008/10/31,-2.45%,1.50%,-0.47%,0.21%,-2.29%,-12.70%,-5.19%,-9.19%,-7.52%,-10.23%,0.92%,3.23%,-3.41%,-13.69%,-7.97%,-14.65%,71,121,102,113,87,42,94,81,102,77,20.36%,73.23%,89.84%,137.4%,-19.21%,41.17%,91.14%,83.44%,0.00%,0.00%
2008/12/31,2008/11/30,1.90%,-1.02%,1.70%,-0.64%,1.13%,4.09%,1.20%,2.63%,0.57%,3.01%,2.04%,0.42%,-2.33%,2.61%,2.00%,2.48%,73,120,104,112,88,43,95,83,102,79,19.43%,71.37%,93.72%,138.4%,-17.59%,44.68%,92.06%,88.23%,0.00%,0.00%
2009/01/31,2008/12/31,-0.54%,-1.36%,3.79%,-1.53%,-2.14%,-9.68%,-7.03%,-4.17%,-11.79%,-10.58%,1.71%,1.30%,11.93%,0.50%,-8.28%,0.11%,72,118,108,110,86,39,88,79,90,71,17.52%,69.82%,97.04%,141.5%,-24.42%,44.83%,108.2%,89.16%,0.00%,0.00%
2009/02/28,2009/01/31,-2.84%,-0.80%,-0.83%,0.22%,-4.07%,-13.59%,-8.78%,-8.64%,-10.70%,-14.31%,1.54%,2.33%,-3.97%,-12.56%,-10.22%,-13.26%,70,117,107,111,82,34,80,72,81,61,16.07%,68.59%,100.1%,147.1%,-32.14%,25.63%,101.8%,65.40%,0.00%,0.00%
2009/03/31,2009/02/28,1.92%,0.64%,-0.26%,0.47%,1.56%,11.10%,9.00%,8.58%,8.64%,8.08%,-0.67%,-0.84%,1.18%,14.07%,8.87%,14.33%,72,118,107,111,84,38,88,79,88,66,15.66%,63.50%,98.73%,145.0%,-26.13%,43.63%,112.9%,88.68%,-0.67%,-0.84%
2009/04/30,2009/03/31,-3.75%,-1.88%,0.79%,-0.54%,8.23%,12.85%,8.53%,12.85%,9.59%,9.55%,3.41%,3.77%,1.92%,25.48%,10.45%,24.35%,69,116,107,111,91,42,95,89,96,72,29.51%,58.11%,105.5%,154.3%,-18.40%,78.60%,142.4%,136.8%,0.00%,0.00%
2009/05/31,2009/04/30,1.42%,-1.38%,-2.38%,0.02%,1.87%,6.54%,3.55%,3.05%,6.59%,7.79%,2.85%,4.96%,7.31%,17.81%,5.16%,16.32%,70,114,105,111,92,45,98,91,102,78,30.10%,60.10%,111.4%,166.9%,-14.20%,107.8%,169.5%,178.9%,0.00%,0.00%
2009/06/30,2009/05/31,-2.40%,2.25%,0.27%,-0.98%,-0.21%,-0.86%,2.79%,1.03%,-0.84%,-2.14%,3.36%,4.31%,4.77%,6.25%,0.39%,4.95%,68,117,105,110,92,45,101,92,101,76,32.95%,58.05%,118.5%,178.4%,-13.86%,118.0%,181.8%,196.4%,0.00%,0.00%
2009/07/31,2009/06/30,2.03%,-0.68%,1.28%,-0.83%,-3.07%,11.41%,6.94%,7.86%,7.49%,6.32%,0.96%,-0.98%,-1.29%,8.34%,7.78%,8.64%,70,116,107,109,89,50,108,100,109,81,26.17%,50.00%,120.6%,175.7%,-7.16%,136.9%,184.2%,221.1%,0.00%,-0.98%
2009/08/31,2009/07/31,0.83%,-0.24%,-0.01%,-0.94%,-2.29%,4.49%,3.22%,2.19%,3.28%,5.52%,-1.79%,-4.46%,3.83%,8.16%,3.49%,9.49%,70,116,107,108,87,52,112,102,113,85,22.23%,51.54%,116.6%,163.4%,-3.92%,159.4%,201.3%,247.3%,-1.79%,-5.39%
2009/09/30,2009/08/31,-1.19%,0.50%,-0.82%,0.48%,-2.20%,5.41%,4.88%,3.14%,4.15%,3.10%,0.05%,0.69%,0.52%,9.01%,4.15%,8.80%,69,116,106,108,85,55,117,105,117,88,21.01%,48.04%,116.7%,165.2%,0.06%,182.2%,215.3%,278.6%,-1.74%,-4.74%
2009/10/31,2009/09/30,-0.25%,0.72%,1.35%,0.08%,-0.39%,-5.33%,-1.95%,-1.44%,-1.91%,-4.72%,-1.63%,-1.07%,-5.05%,-9.95%,-2.59%,-9.63%,69,117,107,108,85,52,115,103,115,84,20.83%,48.96%,113.2%,162.4%,-2.53%,155.0%,193.1%,240.9%,-3.34%,-5.75%
2009/11/30,2009/10/31,-2.45%,1.10%,1.02%,-0.04%,-1.47%,4.45%,6.18%,5.73%,5.94%,4.50%,0.25%,0.18%,-3.58%,1.15%,5.59%,1.10%,67,118,108,108,84,54,122,109,122,87,22.02%,49.03%,113.7%,162.8%,2.92%,157.8%,180.0%,244.8%,-3.10%,-5.59%
2009/12/31,2009/11/30,-0.25%,-0.06%,-0.18%,0.67%,0.35%,4.45%,4.37%,2.49%,3.58%,-0.49%,0.52%,0.66%,1.81%,8.26%,2.80%,8.07%,67,118,108,109,84,57,127,112,126,87,22.75%,41.66%,114.8%,164.6%,5.80%,178.6%,194.7%,273.3%,-2.59%,-4.96%
2010/01/31,2009/12/31,-1.11%,-1.90%,0.12%,0.67%,0.57%,-4.47%,-5.06%,-2.66%,-2.47%,-2.28%,-2.04%,-2.65%,0.50%,-1.36%,-3.38%,-0.56%,66,116,108,110,85,54,121,109,123,85,24.81%,44.76%,110.5%,157.6%,2.23%,177.1%,203.0%,268.2%,-4.58%,-7.48%
2010/02/28,2010/01/31,0.36%,0.68%,-0.42%,0.49%,-0.92%,4.44%,3.86%,2.78%,3.93%,2.58%,1.40%,0.14%,1.47%,3.33%,3.44%,3.29%,67,117,108,110,84,57,126,112,128,87,23.21%,42.07%,113.4%,157.9%,5.74%,186.2%,202.5%,280.5%,-3.25%,-7.36%
2010/03/31,2010/02/28,-0.72%,-0.03%,-0.13%,0.58%,0.90%,6.95%,6.22%,5.83%,6.34%,7.40%,0.04%,-0.74%,0.12%,5.80%,6.36%,6.03%,66,117,108,111,85,61,133,119,136,94,25.21%,42.70%,113.5%,156.0%,12.47%,203.4%,201.5%,302.6%,-3.21%,-8.04%
2010/04/30,2010/03/31,-0.12%,-0.87%,0.18%,1.30%,-0.42%,1.59%,1.78%,2.50%,2.36%,2.05%,-1.90%,-2.50%,4.20%,8.74%,2.11%,9.49%,66,116,108,112,84,62,136,122,139,96,24.84%,43.35%,109.4%,149.6%,14.85%,232.2%,223.8%,337.8%,-5.05%,-10.34%
2010/05/31,2010/04/30,2.27%,-0.17%,-0.69%,0.99%,1.04%,-8.15%,-7.90%,-8.17%,-6.72%,-8.50%,2.49%,3.08%,0.47%,-7.74%,-7.82%,-8.67%,68,115,107,113,85,57,125,112,130,87,23.31%,42.84%,114.6%,157.3%,5.86%,203.4%,221.0%,303.9%,-2.69%,-7.58%
2010/06/30,2010/05/31,0.70%,0.01%,0.03%,0.74%,0.10%,-5.61%,-5.71%,-5.42%,-5.21%,-5.83%,1.72%,0.74%,-0.38%,-8.99%,-5.53%,-9.21%,68,115,107,114,85,53,118,106,123,82,22.58%,42.52%,118.3%,159.2%,0.01%,175.5%,209.2%,267.6%,-1.01%,-6.89%
2010/07/31,2010/06/30,-0.93%,1.70%,-0.75%,0.63%,-0.33%,7.16%,8.34%,5.79%,6.48%,7.65%,0.03%,0.31%,-2.24%,5.86%,7.01%,5.77%,67,117,106,115,85,57,128,112,131,89,23.31%,43.23%,118.4%,160.0%,7.02%,191.4%,205.4%,289.1%,-0.98%,-6.60%
2010/08/31,2010/07/31,0.77%,1.41%,-0.58%,0.60%,0.18%,-5.26%,-3.88%,-5.20%,-4.55%,-4.54%,1.95%,1.78%,2.05%,-6.11%,-4.66%,-6.64%,68,119,106,116,85,54,123,106,125,85,22.59%,44.26%,122.6%,164.6%,2.02%,172.0%,199.4%,265.4%,0.00%,-4.94%
2010/09/30,2010/08/31,-0.66%,-0.56%,-0.98%,1.86%,0.10%,11.19%,10.17%,8.43%,9.10%,8.51%,0.90%,0.37%,-2.97%,9.74%,9.41%,9.63%,68,118,105,118,85,60,135,115,137,92,23.52%,40.39%,124.7%,165.6%,11.62%,198.2%,200.0%,300.9%,0.00%,-4.59%
2010/10/31,2010/09/30,0.48%,-0.18%,0.38%,-0.02%,0.86%,4.94%,4.66%,3.85%,2.70%,3.37%,0.68%,0.71%,0.76%,5.14%,3.89%,4.93%,68,118,105,118,86,63,142,119,140,95,23.99%,38.19%,126.2%,167.5%,15.96%,212.9%,203.2%,321.6%,0.00%,-3.92%
2010/11/30,2010/10/31,1.79%,-1.08%,0.39%,-0.70%,1.61%,1.98%,-0.05%,1.14%,-0.54%,1.36%,2.15%,2.34%,-0.89%,2.36%,0.54%,1.66%,69,117,105,117,87,65,141,121,139,96,23.78%,37.33%,131.0%,173.7%,16.58%,218.1%,206.5%,331.5%,0.00%,-1.67%
2010/12/31,2010/11/30,0.52%,-0.39%,-0.52%,-1.08%,-3.48%,8.05%,5.99%,6.10%,6.46%,9.00%,1.17%,1.35%,2.28%,12.94%,6.70%,12.53%,69,116,105,116,84,70,150,128,148,105,18.84%,38.64%,133.7%,177.4%,24.40%,257.9%,224.4%,387.3%,0.00%,-0.34%
2011/01/31,2010/12/31,1.48%,-0.18%,0.20%,-0.36%,-0.69%,3.93%,1.45%,1.64%,1.57%,2.71%,0.82%,0.50%,3.51%,4.40%,2.06%,4.25%,70,116,105,115,84,72,152,130,151,108,16.26%,36.95%,135.7%,178.8%,26.96%,273.1%,231.5%,408.8%,0.00%,0.00%
2011/02/28,2011/01/31,0.42%,0.03%,-0.18%,0.31%,-0.37%,3.98%,3.41%,3.07%,3.68%,4.04%,2.43%,4.78%,1.07%,8.73%,3.59%,7.30%,71,116,105,116,83,75,157,134,156,112,15.35%,37.03%,141.4%,192.2%,31.52%,300.4%,243.8%,453.2%,0.00%,0.00%
2011/03/31,2011/02/28,-0.25%,-0.54%,-0.77%,1.74%,2.05%,1.18%,-0.43%,0.33%,1.44%,0.37%,0.77%,-0.08%,-0.30%,0.18%,0.49%,0.20%,71,116,104,118,85,76,157,135,159,112,18.01%,35.92%,143.2%,191.9%,32.16%,301.2%,242.8%,454.2%,0.00%,-0.08%
2011/04/30,2011/03/31,-2.69%,0.64%,0.63%,0.54%,-0.38%,1.22%,3.30%,3.81%,2.79%,2.49%,-0.88%,-1.12%,-2.17%,-0.03%,2.97%,0.31%,69,116,105,118,85,77,162,140,163,115,20.73%,37.65%,141.1%,188.6%,36.08%,302.4%,233.7%,454.0%,-0.88%,-1.21%
2011/05/31,2011/04/30,-1.12%,0.28%,0.75%,-0.03%,0.06%,-2.34%,-0.72%,-0.39%,-1.70%,-1.99%,1.92%,2.35%,-0.15%,-1.69%,-1.22%,-2.39%,68,117,105,118,85,75,161,139,160,113,22.15%,38.14%,145.7%,195.4%,34.42%,292.8%,229.8%,444.7%,0.00%,0.00%
2011/06/30,2011/05/31,-0.07%,0.86%,-0.03%,-0.13%,1.07%,-2.15%,-1.08%,-2.09%,-1.88%,-1.85%,1.67%,1.21%,-0.03%,-2.71%,-1.74%,-3.07%,68,118,105,118,86,74,159,136,157,111,23.55%,38.55%,149.8%,199.0%,32.08%,280.7%,225.4%,429.9%,0.00%,0.00%
2011/07/31,2011/06/30,0.36%,0.18%,1.18%,-0.59%,0.97%,-2.20%,-2.44%,-1.48%,-2.68%,-2.46%,1.19%,1.00%,1.68%,-1.59%,-2.26%,-1.89%,68,118,107,117,86,72,155,134,153,108,24.31%,38.19%,152.8%,202.0%,29.09%,273.5%,226.6%,421.5%,0.00%,0.00%
2011/08/31,2011/07/31,-0.10%,-0.07%,1.48%,0.21%,0.05%,-6.48%,-6.61%,-4.39%,-5.47%,-8.35%,0.66%,0.67%,-2.09%,-10.73%,-5.89%,-10.93%,68,118,108,118,87,67,145,128,145,99,24.49%,35.60%,154.5%,204.0%,21.49%,232.7%,210.1%,365.5%,0.00%,0.00%
2011/09/30,2011/08/31,-1.13%,0.40%,0.51%,0.66%,-3.45%,-9.61%,-6.53%,-6.44%,-7.35%,-11.63%,-1.50%,-1.93%,-4.10%,-14.08%,-7.63%,-13.51%,67,118,109,118,84,61,135,120,134,88,21.60%,32.86%,150.6%,198.2%,12.22%,187.8%,191.9%,300.0%,-1.50%,-1.93%
2011/10/31,2011/09/30,-1.34%,-0.74%,0.58%,-0.39%,1.81%,11.86%,10.31%,10.92%,11.31%,14.70%,0.79%,1.68%,-3.26%,12.77%,11.39%,12.27%,66,117,109,118,85,68,149,133,149,100,25.43%,36.63%,152.6%,203.2%,25.00%,223.1%,194.5%,351.0%,-0.73%,-0.28%
2011/11/30,2011/10/31,-0.33%,0.41%,0.61%,0.41%,0.59%,-0.89%,-0.18%,-0.11%,-0.27%,-1.05%,-0.03%,-0.24%,-2.62%,-4.21%,-0.35%,-4.14%,66,118,110,118,86,68,149,133,149,99,26.58%,36.41%,152.5%,202.4%,24.56%,209.7%,183.3%,332.0%,-0.76%,-0.52%
2011/12/31,2011/11/30,-0.57%,1.24%,-0.41%,1.13%,-1.73%,-0.13%,1.99%,-0.17%,1.35%,-0.59%,0.57%,0.34%,-0.05%,-0.21%,0.85%,-0.31%,66,119,110,120,84,67,152,133,151,99,25.11%,35.78%,154.0%,203.4%,25.62%,208.7%,180.0%,331.1%,-0.19%,-0.19%
2012/01/31,2011/12/31,-0.82%,-1.19%,-0.99%,-0.72%,-0.32%,5.69%,4.03%,4.51%,5.71%,7.28%,1.13%,2.19%,3.02%,14.30%,5.09%,13.65%,65,118,109,119,84,71,158,139,159,106,25.75%,37.94%,156.8%,210.1%,32.02%,250.9%,204.0%,392.8%,0.00%,0.00%
2012/02/29,2012/01/31,-1.31%,-0.97%,-1.19%,2.38%,-0.61%,3.78%,4.00%,2.65%,5.89%,4.84%,2.04%,0.75%,1.70%,4.37%,4.25%,4.15%,64,117,107,122,83,74,164,142,169,111,26.63%,39.40%,162.1%,212.4%,37.63%,265.4%,203.7%,414.3%,0.00%,0.00%
2012/03/31,2012/02/29,-2.13%,-0.24%,0.02%,0.99%,1.75%,1.04%,3.13%,2.59%,4.03%,4.50%,1.66%,2.71%,1.99%,6.12%,3.15%,5.31%,63,117,107,123,85,75,170,146,176,116,31.53%,44.22%,166.4%,220.9%,41.95%,284.8%,210.3%,445.8%,0.00%,0.00%
2012/04/30,2012/03/31,0.56%,1.58%,0.21%,0.51%,0.75%,-0.77%,-0.42%,-0.61%,-0.84%,-0.94%,0.97%,1.30%,1.08%,-0.84%,-0.69%,-1.23%,63,118,108,124,85,74,169,145,174,115,31.78%,43.98%,169.0%,225.0%,40.97%,280.1%,208.6%,441.2%,0.00%,0.00%
2012/05/31,2012/04/30,-0.36%,1.07%,0.45%,-0.01%,1.00%,-7.84%,-6.54%,-4.59%,-6.68%,-6.44%,0.28%,1.11%,1.11%,-7.48%,-6.09%,-7.81%,63,120,108,124,86,68,158,139,162,108,33.56%,45.99%,169.7%,228.6%,32.39%,250.4%,203.3%,400.8%,0.00%,0.00%
2012/06/30,2012/05/31,-0.65%,0.77%,0.00%,-0.03%,-0.65%,4.10%,4.36%,3.65%,4.00%,3.80%,1.83%,1.74%,0.13%,5.30%,3.98%,4.78%,63,121,108,124,86,71,165,144,169,112,33.56%,45.56%,174.7%,234.4%,37.67%,267.1%,205.7%,427.3%,0.00%,0.00%
2012/07/31,2012/06/30,1.11%,-1.12%,0.40%,1.29%,0.73%,0.64%,-0.02%,1.31%,1.72%,0.51%,0.65%,0.55%,1.65%,-0.40%,0.87%,-0.56%,63,119,108,125,86,72,165,146,172,112,33.06%,45.36%,176.4%,236.2%,38.87%,265.1%,201.3%,425.2%,0.00%,0.00%
2012/08/31,2012/07/31,-0.55%,-0.35%,-0.91%,1.18%,0.23%,3.47%,2.01%,1.22%,3.79%,3.25%,0.89%,0.97%,-0.90%,3.25%,2.50%,2.96%,63,119,107,127,86,74,168,147,178,116,34.09%,45.04%,178.9%,239.5%,42.34%,275.9%,202.7%,442.3%,0.00%,0.00%
2012/09/30,2012/08/31,-0.07%,-0.30%,-0.19%,0.28%,-0.58%,3.43%,2.68%,2.07%,2.43%,2.58%,0.16%,-1.04%,-0.07%,4.40%,2.56%,4.71%,63,119,107,127,86,77,173,150,183,119,33.41%,43.82%,179.3%,236.0%,45.99%,293.6%,209.2%,466.1%,0.00%,-1.04%
2012/10/31,2012/09/30,1.96%,-1.36%,1.58%,-0.35%,0.40%,0.37%,-2.80%,-1.06%,-1.94%,-1.76%,-0.61%,0.10%,-3.09%,-3.34%,-1.70%,-3.37%,64,117,109,126,86,77,168,149,179,117,31.32%,40.76%,177.6%,236.3%,43.50%,280.3%,204.0%,447.2%,-0.61%,-0.94%
2012/11/30,2012/10/31,-0.59%,-0.47%,0.09%,-0.38%,1.32%,0.09%,0.30%,1.08%,0.38%,2.18%,0.07%,-0.36%,-1.14%,-0.44%,0.66%,-0.33%,64,116,109,126,87,77,168,150,180,119,33.84%,43.70%,177.8%,235.1%,44.45%,279.1%,201.0%,444.8%,-0.54%,-1.30%
